#---
#profile: tabular-data-package
#name: shedding
#title: Temperature-specific shedding success of Schistosoma mansoni cercaria from
#  Biomphalaria glabrata snails
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: snail_id
#  type: string
#  levels:
#  - '1'
#  - '10'
#  - '101'
#  - '102'
#  - '103'
#  - '105'
#  - '107'
#  - '108'
#  - '109'
#  - '11'
#  - '110'
#  - '111'
#  - '112'
#  - '113'
#  - '114'
#  - '116'
#  - '117'
#  - '12'
#  - '120'
#  - '121'
#  - '122'
#  - '123'
#  - '125'
#  - '127'
#  - '13'
#  - '130'
#  - '131'
#  - '133'
#  - '134'
#  - '135'
#  - '136'
#  - '138'
#  - '14'
#  - '140'
#  - '142'
#  - '143'
#  - '145'
#  - '146'
#  - '147'
#  - '148'
#  - '150'
#  - '153'
#  - '154'
#  - '155'
#  - '158'
#  - '159'
#  - '16'
#  - '160'
#  - '161'
#  - '162'
#  - '166'
#  - '170'
#  - '173'
#  - '18'
#  - '20'
#  - '21'
#  - '25'
#  - '26'
#  - '28'
#  - '29'
#  - '3'
#  - '31'
#  - '32'
#  - '36'
#  - '38'
#  - '39'
#  - '4'
#  - '42'
#  - '43'
#  - '45'
#  - '47'
#  - '49'
#  - '5'
#  - '52'
#  - '53'
#  - '54'
#  - '55'
#  - '57'
#  - '6'
#  - '60'
#  - '62'
#  - '64'
#  - '65'
#  - '70'
#  - '71'
#  - '72'
#  - '73'
#  - '74'
#  - '75'
#  - '76'
#  - '77'
#  - '78'
#  - '79'
#  - '8'
#  - '80'
#  - '81'
#  - '84'
#  - '85'
#  - '88'
#  - '89'
#  - '9'
#  - '90'
#  - '92'
#  - '94'
#  - '97'
#  - '98'
#  - '99'
#- name: replicate_id
#  type: string
#- name: value
#  type: number
#- name: source
#  type: string
#--- 
temperature,variable,snail_id,replicate_id,value,source
29,cercariae_count_2h,47,Second,0,Nguyen2020
29,cercariae_count_2h,64,Second,104,Nguyen2020
29,cercariae_count_2h,65,Second,492,Nguyen2020
29,cercariae_count_2h,85,Second,0,Nguyen2020
29,cercariae_count_2h,110,Second,508,Nguyen2020
29,cercariae_count_2h,117,Second,408,Nguyen2020
29,cercariae_count_2h,120,Second,224,Nguyen2020
29,cercariae_count_2h,131,Second,296,Nguyen2020
29,cercariae_count_2h,134,Second,468,Nguyen2020
29,cercariae_count_2h,143,Second,108,Nguyen2020
33,cercariae_count_2h,36,Second,504,Nguyen2020
33,cercariae_count_2h,55,Second,0,Nguyen2020
33,cercariae_count_2h,57,Second,0,Nguyen2020
33,cercariae_count_2h,70,Second,172,Nguyen2020
33,cercariae_count_2h,72,Second,0,Nguyen2020
33,cercariae_count_2h,102,Second,212,Nguyen2020
33,cercariae_count_2h,116,Second,88,Nguyen2020
33,cercariae_count_2h,123,Second,0,Nguyen2020
33,cercariae_count_2h,127,Second,344,Nguyen2020
33,cercariae_count_2h,130,Second,292,Nguyen2020
33,cercariae_count_2h,142,Second,76,Nguyen2020
33,cercariae_count_2h,148,Second,0,Nguyen2020
37,cercariae_count_2h,6,Second,0,Nguyen2020
37,cercariae_count_2h,9,Second,0,Nguyen2020
37,cercariae_count_2h,18,Second,0,Nguyen2020
37,cercariae_count_2h,28,Second,88,Nguyen2020
37,cercariae_count_2h,31,Second,0,Nguyen2020
37,cercariae_count_2h,62,Second,84,Nguyen2020
37,cercariae_count_2h,73,Second,0,Nguyen2020
37,cercariae_count_2h,81,Second,80,Nguyen2020
37,cercariae_count_2h,92,Second,132,Nguyen2020
37,cercariae_count_2h,103,Second,0,Nguyen2020
37,cercariae_count_2h,136,Second,56,Nguyen2020
37,cercariae_count_2h,150,Second,256,Nguyen2020
5,cercariae_count_2h,14,Third,0,Nguyen2020
5,cercariae_count_2h,26,Third,0,Nguyen2020
5,cercariae_count_2h,42,Third,0,Nguyen2020
